# Copyright (c) 1966-2016 Johns Hopkins University. Use of this file adheres to the terms specified at http://omim.org/help/agreement.
# Generated: 2016-05-26
# See end of file for additional documentation on specific fields
# Sort	Month	Day	Year	Cyto Location	Gene Symbols	Confidence	Gene Name	MIM Number	Mapping Method	Comments	Phenotypes	Mouse Gene Symbol
2.847	1	14	09	2q35	NHEJ1, XLF	P	Nonhomologous end-joining factor 1	611290	REc		Severe combined immunodeficiency with microcephaly, growth retardation, and sensitivity to ionizing radiation, 611291 (3)	
2.848	8	24	09	2q35	OBSL1, KIAA0657, 3M2	C	Obscurin-like 1	610991	R, REc		3-M syndrome 2, 612921 (3)	
2.849	8	27	09	2q35	PECR, TERP	P	Peroxisomal trans-2-enoyl-CoA reductase	605843	REc			
2.850	1	28	10	2q34	PIKFYVE, PIP5K3	C	Phosphatidylinositol kinase, FYVE-finger containing	609414	Fd, REc		Corneal fleck dystrophy, 121850 (3)	
2.851	11	19	09	2q35	PRKAG3	P	Protein kinase, AMP-activated, noncatalytic, gamma 3	604976	REc			
2.852	5	4	09	2q35	RESP18	P	Regulated endocrine-specific protein 18	612721	REc			
2.853	9	22	14	2q35	RNF25, AO7	P	Ring finger protein 25	616014	REc			
2.854	3	29	10	2q35	RPL37A	P	Ribosomal protein L37A	613314	REc			
2.855	8	27	08	2q35	RQCD1, RCD1, CNOT9	P	Required for cell differentiation 1, S. pombe, homolog of	612054	REc			
2.856	12	21	09	2q35	NRAMP1, NRAMP, SLC11A1	C	Solute carrier family 11 (proton-coupled divalent metal ion transporter), member 1	600266	REn, REc, Psh, H, Fd	within 220 kb of VIL1	{Mycobacterium tuberculosis, susceptibility to infection by}, 607948 (3); {Buruli ulcer, susceptibility to}, 610446 (3)	1(Nramp)
2.857	9	19	14	2q35	SPEG, APEG1, CNM5	P	SPEG complex locus	615950	REc		Centronuclear myopathy 5, 615959 (3)	
2.858	3	25	03	2q35	STK36, FU, KIAA1278	C	Serine/threonine protein kinase 36	607652	R, REn			
2.859	8	19	13	2q35	TMBIM1, RECS1	P	Transmembrane BAX inhibitor motif-containing protein 1	610364	REc, R			
2.860	7	5	15	2q35	TUBA4A, TUBA1, ALS22	P	Tubulin, alpha-4A	191110	REc		Amyotrophic lateral sclerosis 22 with or without frontotemoral dementia, 616208 (3)	1(Tuba4a)
2.861	2	12	16	2q34	UNC80, C2orf21, KIAA1843	P	Unc-80 homolog, NALCN activator	612636	R, REc		Hypotonia, infantile, with psychomotor retardation and characteristic facies 2, 616801 (3)	
2.862	5	5	00	2q35	WNT6	P	Wingless-type MMTV integration site family, member 6	604663	A			1(Wnt6)
2.863	7	22	11	2q35	WNT10A, SSPS, STHAG4, OODD	C	Wingless-type MMTV integration site family, member 10A	606268	REc, Fd		Odontoonychodermal dysplasia, 257980 (3); Schopf-Schulz-Passarge syndrome, 224750 (3); Tooth agenesis, selective, 4, 150400 (3)	
2.864	6	6	94	2q35	XRCC5	C	X-ray repair, complementing defective, repair in Chinese hamster cells-5	194364	REa, R, A	included in YAC contig spanning 2q33-q34		1(Xrcc5)
2.865	9	29	10	2q35	ZFAND2B, AIRAPL	P	Zinc finger AN1 domain-containing protein 2B	613474	REc			
2.866	1	22	08	2q35	ACCN4, ASIC4, BNAC4	C	Cation channel, amiloride-sensitive, neuronal, 4	606715	R, REc			
2.867	5	22	03	2q36.1	KCNE4, MIRP3	P	Potassium channel, voltage-gated, ISK-related subfamily, member 4	607775	REc			
2.868	1	11	05	2q35-q36	PSHK2	P	Pseudohyperkalemia, familial, 2, due to red cell leak	609153	Fd	max lod at D2S1338	Pseudohyperkalemia, familial, 2, due to red cell leak (2)	
2.869	2	3	99	2q36.1	SCG2, CHGC	P	Secretogranin II (chromogranin C)	118930	A			1(Scg2)
2.870	6	4	90	2q35	TNP1	P	Transition protein-1	190231	REa, A			1(Tp1)
2.871	2	18	08	2q35	TNS1, TNS	P	Tensin 1	600076	REa, H			1(Tns)
2.872	2	10	04	2q35	VIL1	C	Villin-1	193040	A		Cholestasis, progressive canalicular (1)	1(Vil)
2.873	6	4	97	2q35	PTPRN, IA2	P	Protein tyrosine phosphatase, receptor type N (islet cell antigen 2)	601773	A, R			1(Ptprn)
2.874	3	5	95	2q37.3	GPC1	P	Glypican 1	600395	A			
2.875	2	25	16	2q35	ABCB6, MTABC3, MCOPCB7, LAN, DUH3, PSHK2	P	ATP-binding cassette, subfamily B, member 6	605452	A, Fd		Microphthalmia, isolated, with coloboma 7, 614497 (3); [Blood group, Langereis system], 111600 (3); Dyschromatosis universalis hereditaria 3, 615402 (3); Pseudohyperkalemia, familial, 2, due to red cell leak, 609153 (3)	
2.876	4	20	04	2q36	ACRPV	P	Acropectorovertebral dysplasia (F syndrome)	102510	Fd		Acropectorovertebral dysplasia (2)	
2.877	7	18	14	2q36.3	AGFG1, HRB, RIP, RAB	P	ADP-ribosylation factor GTPase-activating protein with FG repeats 1	600862	A			
2.878	12	23	05	2q36.1	FARSLB, FRSB	P	Phenylalanine-tRNA synthetase-like, beta subunit	609690	REc			
2.879	8	27	09	2q35	FEV	P	Fifth Ewing sarcoma variant	607150	REa, REc	fused with EWS in tumors		
2.880	5	23	11	2q36	IGAN2	P	IgA nephropathy, susceptibility to, 2	613944	Fd	between D2S1323 adn D2S362	{IgA nephropathy, susceptibility to, 2} (2)	
2.881	1	11	07	2q36.3	IRS1	P	Insulin receptor substrate-1	147545	REa, A		{Diabetes mellitus, noninsulin-dependent}, 125853 (3); {Coronary artery disease, susceptibility to} (3)	1(Irs1)
2.882	9	9	13	2q36.1	MRPL44, COXPD16	P	Mitochondrial ribosomal protein L44	611849	R, REc	Mutation identified in 1 family	?Combined oxidative phosphorylation deficiency 16, 615395 (3)	
2.883	10	9	94	2q35	SLC2C, AE3	C	Anion exchanger 3, neuronal	106195	A, Psh, Fd			1(Ae3)
2.884	12	18	07	2q36.3	SPHKAP, SKIP, KIAA1678	P	SPHK1 interactor, AKAP domain containing	611646	R, REc			
2.885	9	12	02	2q35	STK11IP, KIAA1898, LIP1	P	Serine/threonine kinase 11 interacting protein	607172	R			
2.886	11	22	99	2q37.3	AGXT, SPAT	C	Alanine-glyoxylate aminotransferase, liver-specific peroxisomal	604285	A, REa		Hyperoxaluria, primary, type 1, 259900 (3)	
2.887	5	4	12	2q36.3	COL4A3	C	Collagen IV, alpha-3 polypeptide (Goodpasture antigen)	120070	REa, A, RE	noncollagenous domain = Goodpasture antigen	Alport syndrome, autosomal recessive, 203780 (3); Hematuria, benign familial, 141200 (3); Alport syndrome, autosomal dominant, 104200 (3)	
2.888	5	8	97	2q36.3	COL4A4	C	Collagen IV, alpha-4 polypeptide	120131	REa, A	head-to-head with COL4A4 in same YAC	Alport syndrome, autosomal recessive, 203780 (3); Hematuria, familial benign (3)	
2.889	2	8	13	2q37.1	ECEL1, XCE, DA5D	P	Endothelin-converting enzyme-like 1	605896	A		Arthrogryposis, distal, type 5D, 615065 (3)	
2.890	2	18	98	2q37.2	GBX2	P	Gastrulation brain homeo box-2	601135	Psh, A			1(Gbx2)
2.891	5	12	89	2q24.2	GCG	C	Glucagon	138030	REa, A		[?Hyperproglucagonemia] (1)	2(Gcg)
2.892	8	15	97	2q37.1	INPP5D, SHIP	P	Inositol polyphosphate-5-phosphatase, 145kD	601582	A			1(Inpp5d)
2.893	4	7	14	2q37.1	PDE6D, JBTS22	C	Phosphodiesterase 6D, cGMP-specific, rod, delta	602676	A, R	mutation identified in 1 JBTS22 family	?Joubert syndrome 22, 615665 (3)	1(Pde6d)
2.894	8	27	09	2q37.1	PTMA, TMSA	P	Prothymosin, alpha (gene sequence 28)	188390	REa, REc			
2.895	2	14	01	2q37.3	RAMP1	C	Receptor activity-modifying protein 1	605153	R			1(Ramp1)
2.896	12	1	14	2q36.1	AP1S3, PSORS15	P	Adaptor-related protein complex 1, sigma-3 subunit	615781	REc		{Psoriasis 15, pustular, susceptibility to}, 616106 (3)	
2.897	4	14	10	2q35	CHPF, CSS2	C	Chondroitin polymerizing factor	610405	REc			
2.898	8	3	12	2q36.1	MOGAT1, MGAT1, DGAT2L1	P	Monoacylglycerol O-acyltransferase 1	610268	REc, R			
2.899	2	23	12	2q36.1	PAX3, WS1, HUP2, CDHS, WS3	C	Paired box homeotic gene-3	606597	Ch, Fd, H, A, Psh		Waardenburg syndrome, type 1, 193500 (3); Waardenburg syndrome, type 3, 148820 (3); Craniofacial-deafness-hand syndrome, 122880 (3); Rhabdomyosarcoma 2, alveolar, 268220 (3)	1(Sp)
2.900	7	16	09	2q36.1	SGPP2, SPP2	P	Sphingosine-1-phosphate phosphatase 2	612827	REc			
2.901	2	21	10	2q36.1-q36.3	SPDA3	P	Spondyloarthropathy, susceptibility to, 3	613238	Fd	max lod at D2S2228	{Spondyloarthropathy, susceptibility to, 3} (2)	
2.902	12	10	10	2q36.2	RJBS	P	Rajab syndrome	613658	Fd	between D2S351 and D2S2390	Rajab syndrome (2)	
2.903	10	13	09	2q36.2	DOCK10, KIAA0694, ZIZ3	P	Dedicator of cytokinesis 10	611518	R, REc			
2.904	2	27	12	2q36.2	CUL3, PHA2E	P	Cullin 3	603136	R, REc		Pseudohypoaldosteronism, type IIE, 614496 (3)	
2.905	8	27	12	2q36.3	MFF, C2orf33	P	Mitochondrial fission factor	614785	REc			
2.906	12	10	13	2q36.3	NYPA2, KIAA1486	P	Neuronal tyrosine-phosphorylated phosphoinositide 3-kinase adaptor 2	615478	REc, R			
2.907	8	17	09	2q36.3	PID1, NYGGF4	P	Phosphotyrosine interaction domain-containing 1	612930	REc			
2.908	2	13	12	2q36.3	SLC19A3, THMD2, BBGD	C	Solute carrier family 19 (folate transporter), member 3	606152	A, H, Fd		Thiamine metabolism dysfunction syndrome 2 (biotin- or thiamine-responsive encephalopathy type 2), 607483 (3)	1(Slc19a3)
2.909	10	15	13	2q36.3	TM4SF20, SLI5	P	Transmembrane 4 L6 family, member 20	615404	REc		{Specific language impairment 5}, 615432 (3)	
2.910	8	27	09	2q36.3	TRIP12	P	Thyroid hormone receptor interactor 12	604506	REa, REc			
2.911	3	14	96	2q37.1	HTR2B	P	5-hydroxytryptamine (serotonin) receptor-2B	601122	A			
2.912	4	12	92	2q37.1	ALPP	C	Alkaline phosphatase, placental (Regan isozyme)	171800	REb, REa, A, RE			4(Akp2)
2.913	4	12	92	2q37.1	ALPPL2	P	Alkaline phosphatase, placental-like 2	171810	REa, A			
2.914	9	22	08	2q37.3	ASB1	P	Ankyrin repeat-containing SOCS box protein 1	605758	R, REc			1(Asb1)
2.915	10	14	15	2q37	BDMR, C2DELq37, DEL2q37	P	Chromosome 2q37 deletion syndrome	600430	Ch		Chromosome 2q37 deletion syndrome (4)	
2.916	7	20	15	2q37.3	COL6A3, DYT27, BTHLM1, UCMD1	C	Collagen VI, alpha-3 polypeptide	120250	REa, A	close to CRBP1	Bethlem myopathy 1, 158810 (3); Ullrich congenital muscular dystrophy 1, 254090 (3); Dystonia 27, 616411 (3)	1(Col6a3)
2.917	8	11	15	2q37.3	ACKR3, CXCR7, CMKOR1, GPR159, RDC1	P	Atypical chemokine receptor 3	610376	A			
2.918	4	29	03	2q36.3	DNER	P	Delta-and notch-like egf-related receptor	607299	REc			
2.919	3	9	00	2q37.1	GPR55	P	G protein-coupled receptor 55	604107	A			
2.920	12	29	99	2q37.3	HDLBP, VGL	P	High-density lipoprotein-binding protein	142695	REa, A			
2.921	3	28	12	2q37	IBGC2	P	Basal ganglia calcification, idiopathic, 2	606656	Fd		Basal ganglia calcification, idiopathic, 2 (2)	
2.922	9	1	05	2q37.1	ITM2C, BRI3	P	Integral membrane protein 2C	609554	REc			
2.923	8	25	11	2q37.1	KCNJ13, SVD, LCA16	C	Potassium inwardly-rectifying channel, subfamily J, member 13	603208	R, Fd		Snowflake vitreoretinal degeneration, 193230 (3); Leber congenital amaurosis 16, 614186 (3)	
2.924	10	3	11	2q37.3	KIF1A, ATSV, UNC104, SPG30, HSN2C, MRD9	P	Kinesin family member 1A	601255	Psh, A	incorrectly assigned to chr.9	Spastic paraplegia 30, autosomal recessive, 610357 (3); Neuropathy, hereditary sensory, type IIC, 614213 (3); Mental retardation, autosomal dominant 9, 614255 (3)	
2.925	5	31	05	2q37.3	MLPH	P	Melanophilin	606526	R, H		Griscelli syndrome, type 3, 609227 (3)	1(Mlph)
2.926	1	8	01	2q37.1	NEU2, SIAL2	P	Neuraminidase 2	605528	A, R			
2.927	7	17	01	2q37.1	NGEF	P	Neuronal guanine nucleotide exchange factor	605991	REc, A			1(Ngef)
2.928	10	1	07	2q37.3	SEPT2, NEDD5, DIFF6	P	Septin 2	601506	A			
2.929	3	26	02	2q37.1	TRPM8, TRPP8	P	Transient receptor potential cation channel, subfamily M, member 8	606678	REc			
2.930	6	7	10	2q37.1	UGT1A1, UGT1, GNT1, BILIQTL1	C	UDP glycosyltransferase 1 family, polypeptide A1	191740	REa		Crigler-Najjar syndrome, type I, 218800 (3); [Gilbert syndrome], 143500 (3); Crigler-Najjar syndrome, type II, 606785 (3); Hyperbilirubinemia, familial transient neonatal, 237900 (3); [Bilirubin, serum level of, QTL1], 601816 (3)	1(Ugt1)
2.931	11	1	01	2q37.1	UGT1A3, UGT1C	P	UDP-glycosyltransferase 1 family, polypeptide A3	606428	REa, REn			
2.932	11	1	01	2q37.1	UGT1A4, UGT1D	P	UDP-glycosyltransferase 1 family, polypeptide A4	606429	REa, REn			
2.933	11	1	01	2q37.1	UGT1A5	P	UDP-glycosyltransferase 1 family, polypeptide A5	606430	REa, REn			
2.934	11	1	01	2q37.1	UGT1A8	P	UDP-glycosyltransferase 1 family, polypeptide A8	606433	REa, REn			
2.935	11	1	01	2q37.1	UGT1A6	P	UDP-glycosyltransferase 1 family, polypeptide A6	606431	REa, REn			
2.936	11	1	01	2q37.1	UGT1A7	P	UDP-glycosyltransferase 1 family, polypeptide A7	606432	REa, REn			
2.937	11	1	01	2q37.1	UGT1A9	P	UDP-glycosyltransferase 1 family, polypeptide A9	606434	REa, REn			
2.938	11	1	01	2q37.1	UGT1A10	P	UDP-glycosyltransferase 1 family, polypeptide A10	606435	REa, REn			
2.939	6	10	98	2q37.1	SPP2	P	Secreted phosphoprotein-2, 24kD	602637	R, A			
2.940	6	22	01	2q37.1	ALPI	C	Alkaline phosphatase, intestinal	171740	A, REa, RE, REc	close to ALPP; proximal to PAX3		1(Akp3)
2.941	7	20	12	2q37.1	ARL4C, ARL7	P	ADP-ribosylation factor-like 4C	604787	REc			
2.942	5	19	09	2q37.1	ATG16L1, APG16L, IBD10	C	Autophagy 16-like 1	610767	REc		{Inflammatory bowel disease 10}, 611081 (3)	
2.943	7	22	13	2q37.1	B3GNT7	P	Beta-1,3-N-acetylglucosaminyltransferase 7	615313	REc			
2.944	8	1	08	2q37.1	CAB39	P	Calcium-binding protein 39	612174	R, REc			
2.945	9	22	14	2q37.1	COPS7B	P	COP9 signalosome, subunit 7B	616010	REc			
2.946	1	9	07	2q37.1	DGKD	P	Diacylglycerol kinase, delta, 130kD	601826	REc			
2.947	2	18	08	2q37.1	EFHD1	P	EF-hand domain family, member D1	611617	REc			
2.948	2	21	06	2q37.1	EIF4E2, EIF4EL3, 4EHP	C	Eukaryotic translation initiation factor 4E family, member 2	605895	R, REc			
2.949	9	9	08	2q36.3	FBXO36, FBX36	P	F-box only protein 36	609105	REc			1(Fbxo36)
2.950	4	10	15	2q37.1	GIGYF2, KIAA0642, PARK11	C	GRB10-interacting GYF protein 2	612003	R, REc, Fd		{Parkinson disease 11}, 607688 (3)	1(Gigyf2)
2.951	3	23	09	2q37.1	HJURP	P	Holliday junction recognition protein	612667	REc			
2.952	3	23	06	2q37.1	MYP12	P	Myopia 12	609995	Fd	max lod at D2S2344	Myopia 12 (2)	
2.953	5	19	06	2q37.1	NMUR1, GPR66, FM3	P	Neuromedin U receptor 1	604153	REc			
2.954	4	15	11	2q37.1	PRSS56, MCOP6	P	Protease, serine, 56	613858	REc, Fd		Microphthalmia, isolated 6, 613517 (3)	
2.955	2	25	14	2q37.1	SCARNA5	P	Small Cajal body-specific RNA 5	615640	REc	within intron 9 of ATG16L1		
2.956	2	25	14	2q37.1	SCARNA6	P	Small Cajal body-specific RNA 6	615641	REc	within intron 12 of ATG16L1		
2.957	7	7	05	2q37.1	SP100	P	Nuclear antigen SP100	604585	R, REc			
2.958	10	11	06	2q37.1	SP110, IFI41, IFI75, VODI	C	SP110 nuclear body protein (interferon-induced protein 41, 30kD; interferon-induced protein 75, 52kD)	604457	R, Fd		Hepatic venoocclusive disease with immunodeficiency, 235550 (3); {Mycobacterium tuberculosis, susceptibility to}, 607948 (3)	
2.959	4	23	09	2q37.1	SAG, RP47	C	S-antigen; retina and pineal gland (arrestin)	181031	REa, A, Fd		Oguchi disease-1, 258100 (3); Retinitis pigmentosa 47, 613758 (3)	1(Sag)
2.960	9	7	10	2q37.1	STQTL21	P	Stature quantitative trait locus 21	613440	Fd	associated with rs6717918	{Stature QTL 21} (2)	
2.961	9	10	09	2q37.1	TIGD1	P	TIGGER transposable element-derived gene 1	612972	REc			
2.962	5	24	13	2q37.1	USP40	P	Ubiquitin-specific protease 40	610570	REc, R			
2.963	2	5	01	2q37.2	SH3BP4, BOG25	P	SH3 domain-binding protein 4	605611	A			
2.964	7	20	01	2q37.1-q37.3	HPE6	P	Holoprosencephaly 6	605934	Ch		Holoprosencephaly-6 (2)	
2.965	3	16	12	2q37.1	DIS3L2, PRLMNS	P	Dis3 mitotic control, S. cerevisiae, homolog-like 2	614184	REc		Perlman syndrome, 267000 (3)	
2.966	10	13	15	2q37.3	HDAC4, HDACA	P	Histone deacetylase 4	605314	A, Ch			
2.967	4	2	16	2q37.3	ATG4B, APG4B, KIAA0943	P	Autophagy 4, S. cerevisiae, homolog of, B	611338	REc			
2.968	4	17	09	2q37.3	CAPN10, NIDDM1	C	Calpain-10	605286	A, REc		{Diabetes mellitus, noninsulin-dependent 1}, 601283 (3)	
2.969	9	22	14	2q37.3	COPS8, CSN8	P	COP9 signalosome, subunit 8	616011	REc, H			1(Csn8)
2.970	10	23	08	2q37.3	D2HGDH, D2HGD	P	D-2-hydroxyglutarate dehydrogenase	609186	REc		D-2-hydroxyglutaric aciduria, 600721 (3)	
2.971	5	25	13	2q37.3	DTYMK, TYMK, CDC8	P	Deoxythymidylate kinase	188345	REc			
2.972	3	14	13	2q37.3	FAM132B, CTRP15	P	Family with sequence similarity 132, member B	615099	REc			1(Fam132b)
2.973	2	7	07	2q37.3	GAL3ST2, GP3ST	P	Galactose-3-O-sulfotransferase 2	608237	REc			
2.974	6	19	98	2q37.3	GPR35	P	G protein-coupled receptor-35	602646	A			
2.975	8	31	06	2q37.3	HES6	P	Hairy/enhancer of split, Drosophils, homolog of, 6	610331	R, REc			
2.976	3	15	04	2q37.3	ING5	P	Inhibitor of growth-5	608525	R, REc			
2.977	7	1	11	2q37.3	LRRFIP1, GCF2, TRIP, FLAP1	P	Leucine-rich repeat in FLII-interacting protein 1	603256	REc			
2.978	5	6	13	2q37.3	MIR149	P	Micro RNA 149	615209	REc			
2.979	1	13	15	2q37.3	MTERF4, MTERFD2	P	Mitochondrial transcription termination factor 4	615393	REc			
2.980	2	11	15	2q37.3	NDUFA10	P	NADH-ubiquinone oxidoreductase 1 alpha subcomplex, 10	603835	REa, REc	mutation identified in 1 Leigh syndrome patient	?Leigh syndrome, 256000 (3)	
2.981	5	25	13	2q37.3	NEU4	P	Neuraminidase 4	608527	REc			1(Neu4)
2.982	6	12	03	2q37.3	OTOSP	P	Otospiralin	607877	A, R			
2.983	3	3	03	2q37.3	PASK, KIAA0135	P	Pas domain-containing serine-threonine kinase	607505	REc			
2.984	1	6	11	2q37.3	PDCD1, SLEB2	C	Programmed cell death 1	600244	A, Fd		{Systemic lupus erythematosus, susceptibility to, 2}, 605218 (3); {Multiple sclerosis, disease progression, modifier of}, 126200 (3)	
2.985	5	13	13	2q37.3	PER2, FASPS1, KIAA0347	P	Period, Drosophila, homolog of, 2	603426	Fd, A, REc		Advanced sleep phase syndrome, familial, 1, 604348 (3)	
2.986	8	20	98	2q37.3	PPP1R7, SDS22	P	Protein phosphatase 1, regulatory subunit 7	602877	REa, REc			
2.987	10	28	09	2q37.3	RAB17	P	Ras-associated protein	602206	REc			
2.988	9	28	00	2q37.3	RNPEPL1	P	Arginyl aminopeptidase-like 1 (aminopeptidase B-like)	605287	REn			
2.989	8	21	07	2q37.3	SCLY, SCL	P	Selenocysteine lyase	611056	R, REc			
2.990	11	18	15	2q37.3	SNED1, SNEP	P	SUSHI, NIDOGEN, and EGF-like domains protein 1	616634	REc			1(Sned1)
2.991	9	20	14	2q37.3	STK25, SOK1, YSK1	P	Serine/threonine protein kinase 25	602255	REc			
2.992	1	20	09	2q37.3	THAP4	P	THAP domain-containing protein 4	612533	REc			
2.993	1	2	08	2q37.3	TMEM16G, PCANAP5, IPCA5, DTMPP, NGEP	P	Transmembrane protein 16G	605096	REc			
2.994	11	4	15	2q37.3	TRAF3IP1, MIPT3, SLSN9	P	TNF receptor-associated factor 3-interacting protein 1	607380	REc		Senior-Loken syndrome 9, 616629 (3)	
2.995	8	11	15	2q37.3	TWIST2, DERMO1, SETLSS, FFDD3, BBRSAY, AMS	P	Twist, Drosophila, homolog of, 2 (dermis-expressed protein 1, mouse, homolog of)	607556	REc		Focal facial dermal dysplasia 3, Setleis type, 227260 (3); Barber-Say syndrome, 209885 (3); Ablepharon-macrostomia syndrome, 200110 (3)	
2.996	4	6	00	Chr.2	TSE2	P	Transsuppressor of expression 2	601136	M			
3.1	3	10	11	3pter-p25	DEL3pterp25, C3DELpterp25	P	3p- syndrome (chromosome 3pter-p25 deletion syndrome)	613792	Ch	contiguous gene deletion syndrome	3p- syndrome (4)	
3.2	12	22	89	3p22.1	CCK	C	Cholecystokinin	118440	REb, REa			9(Cck)
3.3	3	10	11	3p22.2	CX3CR1, GPR13, V28	P	Chemokine (C-X3-C) receptor 1 (G protein-coupled receptor-13)	601470	REa		{Rapid progression to AIDS from HIV1 infection}, 609423 (3); {Coronary artery disease, resistance to}, 607339 (3); {Macular degeneration, age-related, 12}, 613784 (3)	
3.4	2	15	96	3p21.31	SEP	P	SEP transmembrane protein	601053	REa			
3.5	3	17	05	3p26.2	CRBN, MRT2	C	Cereblon	609262	Fd, REc	between D3S3525 and D3S1560	Mental retardation, autosomal recessive 2, 607417 (3)	
3.6	12	17	07	3p26.1	EGO	P	Eosinophil granule ontogeny	611662	REc			
3.7	1	8	01	3p25.3	OGG1	C	8-hydroxyguanine DNA glycosylase	601982	A		Renal cell carcinoma, clear cell, somatic, 144700 (3)	6(Ogg1)
3.8	3	5	95	3p25.3	OXTR	C	Oxytocin receptor	167055	A, Psh	3p25 by others; within 7-10kb of CAV3		
3.9	10	23	15	3p26.1	ARL8B, GIE1	P	ADP-ribosylation factor-like 8B	616596	REc			
3.10	2	28	03	3p26.3	CHL1, CALL, L1CAM2	C	CHL1, mouse, homolog of (L1 cell adhesion molecule 2)	607416	A, D			6(Chl1)
3.11	4	3	03	3p26.1	EDEM, KIAA0212	P	ER degradation-enhancing alpha-mannosidase-like protein	607673	R			
3.12	4	19	12	3p26.1	GRM7, MGLUR7	P	Glutamate receptor, metabotropic, 7	604101	R, REc			
3.13	2	7	13	3p26.1	ITPR1, SCA15, SCA16, SCA29	C	Inositol 1,4,5-triphosphate receptor, type 1	147265	REa, A, Fd, REc		Spinocerebellar ataxia 15, 606658 (3); Spinocerebellar ataxia 29, congenital nonprogressive, 117360 (3)	6(Itpr1)
3.14	8	24	09	3p26.1-p25.1	ARHI2	P	Age-related hearing impairment 2	612976	Fd	associated with rs11928865, rs779701, and rs779706	{Age-related hearing impairment 2} (2)	
3.15	9	30	10	3p26.1	BHLHE40, HLHB2, STRA13, DEC1	P	Basic helix-loop-helix family, member E40	604256	A			
3.16	5	30	00	3p12.3	CNTN3, PANG	P	Contactin 3 (plasmocytoma-associated neuronal glycoprotein)	601325	REa, H			6(Pang)
3.17	5	1	08	3p26	HPC5	P	Prostate cancer, hereditary, 5	609299	Fd	between D3S1270 and D3S4559	{Prostate cancer, hereditary, 5}, 176807 (2)	
3.18	3	8	04	3p26	IBD9	P	Inflammatory bowel disease 9	608448	Fd		{Inflammatory bowel disease 9} (2)	
3.19	3	20	06	3p26.1	SETMAR, METNASE	P	SET and Mariner transposase domains-containing protein	609834	REc			
3.20	5	23	06	3p26	STQTL5	P	Stature quantitative trait locus 5	608982	Fd	max lod between D3S1297 and D3S1304	{Stature QTL 5} (2)	
3.21	10	29	03	3p26.1	SUMF1, FGE	P	Sulfatase-modifying factor-1	607939	REc, H		Multiple sulfatase deficiency, 272200 (3)	6(Sumf1)
3.22	5	25	05	3p25.3	ATP2B2, PMCA2	C	ATPase, Ca++ transporting, plasma membrane, 2	108733	REa		{Deafness, autosomal recessive 12, modifier of}, 601386 (3)	
3.23	12	12	00	3p25.3	BRPF1, BR140	P	Bromodomain- and PHD finger-containing protein 1, 140kD	602410	A			
3.24	6	9	08	3p26.3-p26.2	CNTN4	C	Contactin 4	607280	REc, Fd			
3.25	10	17	02	3p26.3	CNTN6, NB3	P	Contactin 6	607220	A			
3.26	2	20	03	3p25.3	GHRL	P	Ghrelin	605353	REc		{Obesity, susceptibility to}, 601665 (3)	
3.27	11	5	02	3p25.3	VHL	C	VHL gene	608537	Fd, D, RE		von Hippel-Lindau syndrome, 193300 (3); Renal cell carcinoma, somatic, 144700 (3); Pheochromocytoma, 171300 (3); Hemangioblastoma, cerebellar, somatic (3); Erythrocytosis, familial, 2, 263400 (3)	
3.28	9	12	08	3p26-p24.2	MYMY1, MYMY	P	Moyamoya disease	252350	Fd	max lod at D3S3050	Moyamoya disease (2)	
3.29	6	7	94	3p26.2	IL5RA	C	Interleukin-5 receptor, alpha	147851	REa, A			6(Il5r)
3.30	5	11	00	3p25.3	LMCD1	P	LIM and cysteine-rich domains 1	604859	R			6(Lmcd1)
3.31	11	11	14	3p25.3	ARPC4, ARC20	P	Actin-related protein 2/3 complex, subunit 4	604226	REc			
3.32	5	9	12	3p25.3	ATG7, APG7L, GSA7	P	Autophagy 7, S. cerevisiae, homolog of	608760	REc, R			
3.33	2	25	14	3p25.3	BRK1, C3orf10, HSPC300	P	BRICK1, SCAR/WAVE actin-nucleating complex subunit	611183	REc			
3.34	8	28	09	3p25.3	CAMK1, CAMKI	P	Calcium/calmodulin-dependent protein kinase I	604998	REa, REc			
3.35	4	24	03	3p25.3	CRELD1, AVSD2	C	Cysteine-rich protein with EGF-like domains 1	607170	R, REc, H		{Atrioventricular septal defect, susceptibility to, 2}, 606217 (3); Atrioventricular septal defect, partial, with heterotaxy syndrome, 606217 (3)	6(Creld1)
3.36	3	14	01	3p25.3	FANCD2, FANCD, FACD, FAD	P	Fanconi anemia, complementation group D2	613984	M		Fanconi anemia, complementation group D2, 227646 (3)	
3.37	1	9	13	3p25.3	IL17RE	P	Interleukin 17 receptor E	614995	REc			
3.38	4	6	10	3p25.3	IRAK2	P	Interleukin 1 receptor-associated kinase 2	603304	REc			
3.39	9	24	14	3p25.3	JAGN1, SCN6	P	Jagunal, Drosophila, homolog of, 1	616012	REc		Neutropenia, severe congenital, 6, autosomal recessive, 616022 (3)	6(Jagn1)
3.40	8	22	07	3p25.3	MTMR14, C3orf29, HJUMPY	P	Myotubularin-related protein 14	611089	REc		{Centronuclear myopathy, autosomal, modifier of}, 160150 (3)	
3.41	4	29	14	3p25.3	SETD5, KIAA1757	P	SET domain-containing protein 5	615743	REc		Mental retardation, autosomal dominant 23, 615761 (3)	
3.42	2	2	10	3p25.3	SLC6A11, GAT3, GAT4	P	Solute carrier family 6 (neurotransmitter transporter, GABA), member 11	607952	REc			
